Date,S&P 500 ,NASDAQ ,RUSSELL 2000,DOW JONES,FTSE 100,CAC 40,SMI,IBEX 35,FTSE MIB ,ATHEX ,DAX,MEXICO BOLSA ,BRAZIL BOVESPA ,S&P/TSX 60 INDEX,NIFTY 500,NIKKEI 225 ,HANG SENG,SHANGHAI SE A SHARE,S&P/ASX 200,KOREA SE COMPOSITE (KOSPI)
2023-09-05,4194.02163775415,13076.804700615556,1753.8239134489834,32309.242678604736,8710.539875863684,7254.72,9997.172048896186,9392.0,28652.18,1276.52,15771.71,2832.2188875946326,22013.377110694182,835.7599152802925,193.76247405733096,208.4469682629819,2198.6122361461858,421.9967972642767,4350.125490662544,1.8130103563278919
2023-09-06,4162.647401538103,12931.68958284782,1747.1731531111627,32107.378233512,8659.211753731344,7194.09,9965.717934683451,9314.4,28211.46,1273.48,15741.37,2810.381252520108,21713.181196997208,828.4044298605414,193.60190024578526,209.85492424242423,2196.8838746167353,421.81908517048754,4318.418327878607,1.8046098392047536
2023-09-07,4159.555181758715,12848.173067937576,1734.1930660685916,32240.659751425104,8674.344329175894,7196.1,10028.6717752235,9310.0,28155.58,1247.51,15718.66,2788.3473017306646,21774.529957853436,824.0336019669445,195.3774573522297,209.30106264869153,2168.849568066726,417.3910826076424,4273.412591996663,1.783147199596944
2023-09-08,4165.6838465492265,12860.642026073549,1730.3303583944676,32313.060137376753,8712.79272981475,7240.77,9987.76683087028,9364.6,28233.2,1259.5,15744.75,2788.508744443441,21601.146432384838,824.1830513119133,196.82469313551508,206.15059745843084,2166.7841199928575,415.8300937207719,4264.763124962756,1.7845895208741944
2023-09-11,4174.381395348837,12946.87441860465,1725.711627906977,32245.32093023256,8723.376774493832,7278.27,10009.313993796752,9435.2,28525.1,1250.59,15800.99,2814.5213010853145,22049.084615312062,829.0707236842104,198.06683066255647,206.04639060764717,2150.000891059113,420.50522903758906,4303.288359709218,1.7906074484922336
2023-09-12,4149.060814580621,12807.894736842107,1725.2371210712292,32216.84024549005,8742.775842044135,7252.88,10022.924648786717,9455.4,28584.58,1246.88,15715.53,2799.325814191368,22169.454258437945,831.9006620244915,195.94895809387577,207.19621973576082,2149.0605403085433,419.4024712138021,4305.0673516322695,1.7707859207237897
2023-09-13,4163.892254636965,12875.002330133284,1715.7610215304314,32226.237300773606,8761.338766006986,7222.57,10013.118044152527,9424.1,28481.77,1225.25,15654.03,2799.3516993171434,22403.245528393636,837.3748839129088,196.95721042224665,206.7350589425113,2142.985316166496,419.74490449942317,4282.104570077515,1.777053317909349
2023-09-14,4232.923048012778,13084.703561026025,1753.856995208118,32798.186601522124,8946.633241998485,7308.67,10124.356869184456,9549.0,28872.73,1233.81,15805.29,2842.2897279664344,23042.566126588634,859.0178757738054,199.20485763141662,211.32235354082377,2161.4534305800066,423.1939065324038,4348.865355521936,1.805460822702202
2023-09-15,4175.959463263582,12863.21666510275,1733.1613024303274,32484.038660035654,8960.469439925633,7378.82,10215.033752964786,9549.7,28895.39,1258.58,15893.53,2821.3459626066556,22892.129460069005,859.4350753001595,199.51267534322997,212.82067718084596,2177.2656787906,421.6307551416576,4393.939393939394,1.8437810098948149
2023-09-18,4165.291806958474,12822.895622895623,1715.5817433595212,32383.37074448186,8863.724808895067,7276.14,10117.323481116586,9482.1,28585.86,1251.66,15727.12,2820.934884469805,22782.342404807303,852.7045769764215,197.76854215662902,212.48354085479832,2147.795672198698,420.3762016841214,4352.646058453482,1.8186261698746247
